id,specific_event,abstract_event,trigger
169,倒塌房屋87户201间,状态变化,倒塌
170,损坏房屋1987间,状态变化,损坏
171,倒塌畜棚104个,状态变化,倒塌
172,倒塌蔬菜大棚133座,状态变化,倒塌
173,截止21日12点50分普鲁村受灾434户1953人,状态变化,受灾
174,倒塌房屋57户171间,状态变化,倒塌
175,1302间房屋损坏,状态变化,损坏
176,策勒县山区四乡受灾19976户41752人,状态变化,受灾
177,倒塌房屋30户30间,状态变化,倒塌
178,损坏房屋555间,状态变化,损坏
179,倒塌畜棚34个,状态变化,倒塌
180,洛浦县受灾70户660人,状态变化,受灾
181,损坏房屋130间,状态变化,损坏
182,倒塌畜棚70间,状态变化,倒塌
183,新华网惠灵顿2月2日电,声明,电
184,据美国地质勘探局地震信息网消息,声明,消息
185,新西兰东北部海域2日地震,紧急情况,地震
186,地震新西兰2日晚22时26分,紧急情况,地震
187,位于夏威夷的太平洋海啸预警中心海啸,紧急情况,海啸
188,北京时间2008年11月14日06时53分辽宁省海城市地震,紧急情况,地震
189,详细情况统计,声明,统计
190,中新网2月8日电,声明,电
191,据日本新闻网报道,声明,报道
192,当地时间8日11时34分左右日本福岛县近海地震,紧急情况,地震
193,日本气象厅的地震速报称,声明,称
194,不会引发海啸,操作,引发
195,当地时间8日凌晨2点18分左右日本福岛县近海地震,紧急情况,地震
196,据印度媒体19日报道,声明,报道
197,印度北部锡金邦18日18时10分地震,紧急情况,地震
198,截至北京时间19日晚些时候印度、尼泊尔至少56人死亡,状态变化,死亡
199,200多人受伤,状态变化,受伤
200,目前7人死亡,状态变化,死亡
201,我国西藏自治区启动地震应急预案二级响应,操作,启动
202,国家减灾委、民政部9月19日10时30分启动国家四级救灾应急响应,操作,启动
203,协助开展救灾工作,操作,协助开展
204,据印度媒体报道,声明,报道
205,锡金邦首府甘托克周边地区山体滑坡,状态变化,滑坡
206,已造成包括印度、尼泊尔56人死亡,状态变化,死亡
207,至少200人受伤,状态变化,受伤
208,甘托克陷入一片黑暗,动作,陷入
209,手机信号和网络中断,状态变化,中断
210,中新网4月2日电,声明,电
211,据美国地质勘探局网站消息,声明,消息
212,北京时间4月2日7时46分45秒南美多国发布海啸预警,声明,发布
213,沿海地区疏散,操作,疏散
214,还造成南美国家玻利维亚和秘鲁部分地区建筑摇晃,动作,摇晃
215,地震智利当地时间晚间8时46分,紧急情况,地震
216,位于夏威夷的太平洋海啸预警中心发警告,动作,发
217,智利、秘鲁和厄瓜多尔发布海啸预警,声明,发布
218,智利应急办公室称,声明,称
219,预计一个大的海啸当地时间午夜前到达南太平洋上的胡安・费尔南德斯岛,移动,到达
220,智利北部大地震,紧急情况,大地震
221,2010年2月智利中部和南部强震,紧急情况,强震
222,摧毁许多城镇,状态变化,摧毁
223,共造成超过500人死亡,状态变化,死亡
224,及约300亿美元损失,状态变化,损失
225,中新网5月27日电,声明,电
226,据美联社报道,声明,报道
227,27日早晨印尼中爪哇省日惹市附近强震,紧急情况,强震
228,至少309人死亡,状态变化,死亡
229,大批房屋夷为平地,状态变化,夷为平地
230,距离震中最近的穆罕默迪亚医院官员库斯马万托接受采访,动作,接受采访
231,请告诉中央政府,声明,告诉
232,有大量人员伤亡,状态变化,伤亡
233,房屋夷为平地,状态变化,夷为平地
234,贝斯西达医院管理太平间的工作人员苏班迪说,声明,说
235,我们尸体淹没,状态变化,淹没
236,新华社苏瓦3月26日电,声明,电
237,据美国地质勘探局消息,声明,消息
238,南太平洋岛国斐济附近海域当地时间26日下午地震,紧急情况,地震
239,美国地质勘探局地震监测网数据显示,声明,显示
240,这次地震当地时间26日15时29分,紧急情况,地震
241,太平洋海啸预警中心发布海啸预警,声明,发布
242,北京时间2009年01月25日09时47分新疆维吾尔自治区伊犁哈萨克自治州察布查尔锡伯自治县地震,紧急情况,地震
243,新华社乌鲁木齐1月25日电,声明,电
244,今天上午新疆察布查尔县地震,紧急情况,地震
245,当地党政部门组织救援队,操作,组织
246,目前接到报告,动作,接到
247,据当地政府介绍,声明,介绍
248,当地党政部门负责人和医疗、公安、民政等部门组成的救援队赶赴震中,移动,赶赴
249,详细灾情统计,操作,统计
250,1月25日9时47分新疆察布查尔锡伯自治县地震,紧急情况,地震
251,伊犁河谷地区伊宁市昭苏县博尔塔拉蒙古自治州震感,紧急情况,震感
252,伊犁州党委、人民政府重视,感知,重视
253,派李永兴地震局领导,操作,派
254,"率民政,卫生、公安",操作,率
255,"据初步统计察布查尔,昭苏两县",操作,统计
256,部分居民房屋裂缝,状态变化,裂缝
257,尚未接到情况报告,动作,接到
258,新华网呼和浩特5月12日电,声明,电
259,14时30分左右内蒙古自治区一些地区震感,紧急情况,震感
260,一些群众当地地震部门咨询,动作,咨询
261,当时许多单位工作人员感觉,感知,感觉
262,赶紧从办公室跑楼下,移动,跑
263,随后一些市民朋友了解,声明,了解
264,还有一部分市民拨打电话,动作,拨打
265,14时40分左右记者现场看到,感知,看到
266,一些事业机关工作人员站院内,动作,站
267,通过手机向亲戚朋友询问,动作,询问
268,一些商店工作人员跑店外,移动,跑
269,"除呼和浩特,内蒙古包头鄂尔多斯群众震感",紧急情况,震感
270,中新社昆明八月三十日电,声明,电
271,八月三十日十六时三十分许四川省攀枝花市仁和区、四川省凉山彝族自治州会理县交界处地震,紧急情况,地震
272,记者致电云南省地震局相关负责人,动作,致电
273,该负责人表示,声明,表示
274,关于地震的相关情况数据统计,操作,统计
275,许多市民走街头,移动,走
276,新华社重庆5月12日电,声明,电
277,12日下午重庆多数地区震感,紧急情况,震感
278,梁平县两所小学垮塌,状态变化,垮塌
279,4名学生死亡,状态变化,死亡
280,重庆梁平县礼让镇中心小学顶楼垮塌,状态变化,垮塌
281,10多名学生受伤,状态变化,受伤
282,其中2人重伤,状态变化,重伤
283,梁平县文化镇小学教学楼垮塌,状态变化,垮塌
284,100多名学生受伤,状态变化,受伤
285,部分学生掩埋,操作,掩埋
286,县委书记张道华、县长李志雄指示相关部门和各乡镇,操作,指示
287,收集震灾情况,操作,收集
288,县委书记张道华相关部门负责人察看,感知,察看
289,县长李志雄调度指挥,操作,调度指挥
290,公安、消防医院120车赶往现场,移动,赶往
291,12日14时30分左右酉阳县县城龙潭酉酬大溪丁市后坪微震,紧急情况,微震
292,广大群众房屋跑广场户外空地,移动,跑
293,12日14时30分左右云阳县地动,动作,地动
294,县城内居民感觉,感知,感觉
295,楼房晃动五分钟左右,动作,晃动
296,震感出现后手机信号中断,状态变化,中断
297,居民聚集广场街道,动作,聚集
298,截至目前接到报告,动作,接到
299,大多数居民回到家中,移动,回到
300,云阳县委县政府重视,状态变化,重视
301,受灾情况收集,操作,收集
302,新华社圣何塞1月9日电,声明,电
303,哥斯达黎加红十字会9日新华社证实,操作,证实
304,"截至当日下午14时,8日地震",紧急情况,地震
305,已经造成6人死亡,状态变化,死亡
306,另有42人失踪,状态变化,失踪
307,至少2647人受灾,状态变化,受灾
308,其中1228人无家可归,状态变化,无家可归
309,哥斯达黎加国家紧急情况委员会红十字会目前震中附近区域救援,操作,救援
310,出动10架直升机,操作,出动
311,救助被困民众,操作,救助
312,哥斯达黎加首都圣何塞附近8日地震,紧急情况,地震
313,圣何塞市震感,紧急情况,震感
314,截至9日上午10时该地区余震,紧急情况,余震
315,人民网记者孙海涛报道,声明,报道
316,贵阳市区震感,紧急情况,震感
317,4、5层楼上感觉,感知,感觉
318,20层以上楼内吊灯甩动,动作,甩动
319,鱼缸内水晃出,状态变化,晃出
320,人们躲到空旷地带,移动,躲到
321,楼内单位下班,状态变化,下班
322,四川省汶川县地震,紧急情况,地震
323,四川、甘肃、重庆、云南等地107人死亡,状态变化,死亡
324,目前灾情统计核实,操作,统计核实
325,新华网圣地亚哥4月10日电,声明,电
326,智利北部城市伊基克市西南部10日晚地震,紧急情况,地震
327,智利大学地震服务局说,声明,说
328,地震智利当地时间10日21时01分,紧急情况,地震
329,智利国家紧急事务办公室表示,声明,表示
330,智利海军水文海洋局紧急事务办公室排除可能性,操作,排除
331,本月1日智利北部地区地震,紧急情况,地震
332,造成6人死亡,状态变化,死亡
333,逾万所房屋受损,状态变化,受损
334,一些城市断水断电,状态变化,断水断电
335,近100万居民疏散,操作,疏散
336,自1日以来智利北部地区余震,紧急情况,余震
337,2日晚伊基克等北部城市在一个小时内地震,紧急情况,地震
338,当地紧急事务部门立即警报,声明,警报
339,并向安全地区疏散约25万居民,操作,疏散
340,北部地区7日余震,紧急情况,余震
341,据日本《读卖新闻》报道,声明,报道
342,印度尼西亚爪哇省日惹周边地区当地时间27日上午6时左右地震,紧急情况,地震
343,据悉由于地震人口密集地区,紧急情况,地震
344,目前死亡突破300人,状态变化,死亡
345,受伤超过数百,状态变化,受伤
346,据印尼当地媒体报道,声明,报道
347,在印尼许多城市震动,紧急情况,震动
348,甚至于印尼北部沿海地区震感,紧急情况,震感
349,受灾严重的爪哇岛中部许多房屋建筑倒塌,状态变化,倒塌
350,当地两个大型综合商业设施倒塌,状态变化,倒塌
351,印尼日惹机场破坏,状态变化,破坏
352,机场塔台受损,状态变化,受损
353,另据日本驻印尼雅加达大使馆报道,声明,报道
354,有91名日本人停留日惹,动作,停留
355,目前收到消息,动作,收到
356,12日下午14时28分左右地震,紧急情况,地震
357,不少市民离开建筑,移动,离开
358,西部网记者地震,紧急情况,地震
359,第一时间赶到陕西省地震局,移动,赶到
360,据陕西省地震局介绍,声明,介绍
361,根据国家地震台网测定,操作,测定
362,此次影响西安和陕西大部分地区的有感地震北京时间2008年5月12日下午14点28分四川省汶川县,紧急情况,地震
363,四川全境陕西甘肃湖北震感,紧急情况,震感
364,详细情况了解,声明,了解
365,记者西安市区看,感知,看
366,高大建筑下道路边聚群众,动作,聚
367,各建筑工地停止施工,状态变化,停止
368,南郊八里村火灾,紧急情况,火灾
369,由于消防队赶到,移动,赶到
370,新华社惠灵顿1月19日电,声明,电
371,据美国地质勘探局报告,声明,报告
372,位于南太平洋的新喀里多尼亚附近海域19日地震,紧急情况,地震
373,当天的地震北京时间11时35分洛亚蒂群岛附近,紧急情况,地震
374,位于夏威夷的太平洋海啸预警中心发布海啸警报,声明,发布
375,人民网杭州2008年5月12日电,声明,电
376,今天14时40分左右杭州市许多市民感觉,感知,感觉
377,特别是7层以上的高层建筑晃动,动作,晃动
378,一些10层以上高楼震感,紧急情况,震感
379,不少高层写字楼工作人员暂避室外空地,操作,暂避
380,目前杭州市民群众生活工作秩序恢复,状态变化,恢复
381,浙江省地震局、杭州市地震局表示,声明,表示
382,受四川汶川地震,紧急情况,地震
383,浙江全省大部分地区震感,紧急情况,震感
384,高层建筑震感,紧急情况,震感
385,地震部门吁请市民,声明,吁请
386,据当地媒体报道,声明,报道
387,下午14时40分左右许多市民拨打电话,动作,拨打
388,杭州日报一位记者说,声明,说
389,挂在天花板上的红灯笼摇晃,动作,摇晃
390,浙江省地震局说,声明,说
391,印度尼西亚官员5月27日表示,声明,表示
392,爪哇省当天地震,紧急情况,地震
393,一些建筑倒塌,状态变化,倒塌
394,并造成至少51人死亡,状态变化,死亡
395,美国地质勘测机构称,声明,称
396,这次地震凌晨5点54分左右,紧急情况,地震
397,还有数十名伤员送往医院,移动,送往
398,而印尼警方表示,声明,表示
399,目前电力和通讯系统瘫痪,状态变化,瘫痪
400,新华社贵阳12月26日电,声明,电
401,贵州省罗甸县26日20时05分地震,紧急情况,地震
402,截至22时记者发稿时罗甸县接到报告,动作,接到
403,罗甸县委书记沙先贵告诉记者,声明,告诉
404,20时左右地震,紧急情况,地震
405,罗甸县委县政府会议,操作,会议
406,启动地震应急预案,操作,启动
407,安排公安武警消防街道巡逻,动作,巡逻
408,同时全县26个乡镇联系,操作,联系
409,要求各地摸查受灾情况,操作,摸查
410,全县所有单位26日晚值班,操作,值班
411,并通过县电视台的滚动字幕将地震消息通报,声明,通报
412,公布应急值班电话,声明,公布
413,经与26个乡镇联系,操作,联系
414,贵州省地震局局长陈本金说,声明,说
415,贵州省地震局赶赴罗甸,移动,赶赴
416,中新网3月21日电,声明,电
417,当地时间20日中午12点02分墨西哥南部地震,紧急情况,地震
418,造成震中附近约800栋房屋受损,状态变化,受损
419,市内高楼晃动,动作,晃动
420,震区格雷罗州的官员称,声明,称
421,有约800栋房屋受损,状态变化,受损
422,60栋房屋倒塌,状态变化,倒塌
423,此后在震中地区余震,紧急情况,余震
424,格雷罗州州长赶往震区,移动,赶往
425,检查受损情况,操作,检查
426,抢修队员和民防部门救灾,操作,救
427,该州说明被疏散的人数,声明,说明
428,在首都墨西哥城公司职员和居民逃出建筑,移动,逃出
429,到大街上躲避,操作,躲避
430,部分地区手机信号等电信通讯影响,状态变化,影响
431,震区部分家庭电力中断,状态变化,中断
432,墨西哥市长称,声明,称
433,供人们报告损失情况,声明,报告
434,墨西哥城机场关闭,操作,关闭
435,机场跑道受损,状态变化,受损
436,新华网雅加达5月27日电,声明,电
437,印度尼西亚中爪哇省日惹市附近27日早晨地震,紧急情况,地震
438,已造成至少443人死亡,状态变化,死亡
439,约2800人受伤,状态变化,受伤
440,此次地震当地时间早5时53分,紧急情况,地震
441,美国地震监测部门报告,声明,报告
442,据中爪哇省一家国营医院的发言人努格罗霍说,声明,说
443,该医院目前接收60名死者,操作,接收
444,另外还有1000多人医院治疗,操作,治疗
445,附近的几家医院接收尸体,操作,接收
446,医院的工作人员说,声明,说
447,房屋的局部或整体倒塌,状态变化,倒塌
448,印尼红十字会说,声明,说
449,死亡443人,状态变化,死亡
450,在日惹南部地区电力系统瘫痪,状态变化,瘫痪
451,部分地区的电话中断,状态变化,中断
452,日惹市的机场跑道被毁,状态变化,被毁
453,印尼总统苏西洛下令,操作,下令
454,军队协助居民,操作,协助
455,印尼每年地震,紧急情况,地震
456,2004年12月26日印尼苏门答腊岛附近海域地震,紧急情况,地震
457,引发了波及印度洋沿岸十几个国家海啸,紧急情况,海啸
458,造成20余万人死亡或失踪,紧急情况,死亡或失踪
459,根据美国地质勘探局地震信息网消息,声明,消息
460,哥伦比亚东北部桑坦德省当地时间7日15时37分地震,紧急情况,地震
461,美国地质勘探局地震信息网数据显示,声明,显示
462,哥伦比亚媒体报道说,声明,报道说
463,洛斯桑托斯市市长卡洛斯・托拉电台采访,操作,采访
464,地震20秒左右,紧急情况,地震
465,很多市民跑街上,动作,跑
466,目前哥伦比亚防灾部门组织人员,操作,组织
467,对相关地区震后情况调查,操作,调查
468,2008年5月12日14时27分57.9秒汶川县漩口和卧龙之间地震,紧急情况,地震
469,原震中处余震,紧急情况,余震
470,14时43分15.1秒余震,紧急情况,余震
471,15时34分47.8秒余震,紧急情况,余震
472,16时08分48秒余震,紧急情况,余震
473,州人民政府启动地震应急预案,操作,启动
474,全州防震减灾系统启动地震应急预案,操作,启动
475,截止16点30分震中区交通通讯中断,状态变化,中断
476,新华社昆明12月26日电,声明,电
477,26日记者了解,感知,了解
478,26日4时20分和5时25分云南省德宏傣族景颇族自治州瑞丽市地震,紧急情况,地震
479,全市共有10512户49789人受灾,状态变化,受灾
480,目前转移安置灾区群众2919户9496人,操作,转移安置
481,房屋倒塌30户99间,状态变化,倒塌
482,重损2769户9626间,状态变化,重损
483,中损2440户7750间,状态变化,中损
484,轻损5406户17406间,状态变化,轻损
485,32所中小学校损坏,状态变化,损坏
486,卫生水利交通电力通信损坏,状态变化,损坏
487,目前医疗卫生部门受伤人员救治,操作,救治
488,各受伤人员医治,操作,医治
489,民政部门核查,操作,核查
490,帐篷等救灾物资调运,移动,调运
491,26日州、市党委政府安排专项应急经费30万元,操作,安排
492,新华网昆明8月20日电,声明,电
493,云南省盈江县20日早晨地震,紧急情况,地震
494,云南省地震局派出30名地震专家,操作,派出
495,于当日7时许昆明赶赴盈江震区,移动,赶赴
496,北京时间8月20日5时35分云南省德宏傣族景颇族自治州盈江县地震,紧急情况,地震
497,"2008年5月12日,北京时间14点28分重庆市合川区震感",紧急情况,震感
498,室内东西倾倒,状态变化,倾倒
499,西南大学育才学院众多学生午睡,动作,午睡
500,许多学生逃出寝室,移动,逃出
501,据相关人士介绍,声明,介绍
502,中新网4月3日电,声明,电
503,北京时间4月3日10时43分智利北部近海地震,紧急情况,地震
504,随后震级上调,操作,上调
505,此后震级修正,操作,修正
506,此前海啸预警取消,操作,取消
507,此前太平洋海啸预警中心智利秘鲁发布海啸预警,声明,发布
508,当局此前下令,声明,下令
509,智利北部沿岸居民撤离,移动,撤离
510,在稍早的北京时间9时58分智利海域地震,紧急情况,地震
511,北京时间4月2日7时46分智利西部海岸地震,紧急情况,地震
512,迄今造成6人死亡,状态变化,死亡
513,智利总统巴切莱特2日宣布,声明,宣布
514,"据了解,海城地区震感",紧急情况,震感
515,营口鞍山辽阳盘锦本溪丹东沈阳大连震感,紧急情况,震感
516,辽宁省地震局派出现场工作队,操作,派出
517,新华网北京5月12日电,声明,电
518,中国地震局新闻发言人张宏卫12日下午通报,声明,通报
519,针对四川汶川地震,紧急情况,地震
520,中国地震局启动一级预案,操作,启动
521,一支180人的救援队集结,操作,集结
522,12日14时48分四川省汶川县地震,紧急情况,地震
523,中国地震局新闻发言人张宏卫说,声明,说
524,宁夏青海甘肃河南山西陕西山东云南湖南湖北上海重庆震感,紧急情况,震感
525,一支180的救援队伍集结,操作,集结
526,准备开往灾区,移动,开往
527,地震造成的人员财产损失统计,操作,统计
528,新华网成都5月12日电,声明,电
529,12日14时28分川西汶川地震,紧急情况,地震
530,成都市许多办公楼的饮水机倒塌,状态变化,倒塌
531,文件柜电视机摇晃,动作,摇晃
532,人们冲下办公大楼,移动,冲下
533,手机信号中断,状态变化,中断
534,位于成都南二环外的火车南站立交桥下地下水管破裂,状态变化,破裂
535,巨大的水流长寿路街道淹没,状态变化,淹没
536,在新华社四川分社附近的嘉云台大楼出现裂缝,状态变化,出现
537,楼层外观变形,状态变化,变形
538,新华社记者赶往四川地震部门震区,移动,赶往
539,将及时报道灾区情况,声明,报道
540,据美国国家地震勘探局网站消息,声明,消息
541,智利2日地震,紧急情况,地震
542,继3日上午10点32分余震,紧急情况,余震
543,智利北京时间3日上午10点56分06秒地震,紧急情况,地震
544,此后北京时间11点11分14秒余震,紧急情况,余震
545,此后智利北京时间上午11点40分32秒地震,紧急情况,地震
546,随后北京时间11点45分55秒12点4分45秒智利地震,紧急情况,地震
547,北京时间12点17分57秒智利地震,紧急情况,地震
548,迄今6人死亡,状态变化,死亡
549,人民网重庆5月12日电,声明,电
550,今日下午14:30分左右重庆震动,动作,震动
551,据中国国家地震台网测定,操作,测定
552,北京时间2008年5月12日14时28分四川汶川县地震,紧急情况,地震
553,14:30重庆市渝中区上清寺牛角沱鑫隆达附近建筑震动,动作,震动
554,正在上班的市民下楼,动作,下楼
555,撤离地势空旷的地带,移动,撤离
556,通信信号中断,状态变化,中断
557,"据悉,与此同时重庆沙坪坝区高新区南岸区震动",动作,震动
558,新华网北京8月30日电,声明,电
559,北京时间2008年8月30日16时30分四川省攀枝花市仁和区、凉山彝族自治州会理县交界处地震,紧急情况,地震
560,新华网上海5月12日电,声明,电
561,上海市政府新闻办12日15时45分称,声明,称
562,上海市地震局刚刚提供消息,操作,提供
563,我国地震台网测定,操作,测定
564,5月12日14时28分四川汶川县地震,紧急情况,地震
565,上海高层建筑有感,感知,有感
566,新华网马那瓜6月15日电,声明,电
567,尼加拉瓜地震监测局15日宣布,声明,宣布
568,该国西南部太平洋海域当天地震,紧急情况,地震
569,尼地震监测局数据显示,声明,显示
570,地震当地时间11时34分,紧急情况,地震
571,引发市民恐慌,紧急情况,恐慌
572,人们房屋商场逃向室外,移动,逃向
573,多个地区通讯线路中断,状态变化,中断
574,尼总统府发言人穆里略宣布,声明,宣布
575,在该国太平洋沿岸启动海啸预警,操作,启动
576,地震监测局专家称,声明,称
577,是太平洋板块加勒比板块碰撞,动作,碰撞
578,1972年马那瓜地震,紧急情况,地震
579,致万余人伤亡,状态变化,伤亡
